Player,Span,Mat,Inns,Dis,Ct,St
JW Dernbach (ENG),2011-2014,34,33,8,8,0
JN Frylinck (NAM),2019-2019,14,14,8,8,0
HH Gibbs (SA),2005-2010,23,23,8,8,0
RR Hendricks (SA),2014-2019,22,22,8,8,0
H Klaasen (SA),2018-2019,9,9,8,8,0
MJ Lumb (ENG),2010-2014,27,26,8,8,0
BR McDermott (AUS),2018-2019,12,11,8,8,0
Manpreet Singh (SGP),2019-2019,12,12,8,4,4
KD Mills (NZ),2005-2014,42,42,8,8,0
DJ Mitchell (NZ),2019-2019,9,9,8,8,0
Mohammad Nadeem (OMAN),2015-2019,22,22,8,8,0
M Mosehle (SA),2017-2017,7,7,8,6,2
Nouman Sarwar (QAT),2019-2019,14,14,8,8,0
RT Ponting (AUS),2005-2009,17,17,8,8,0
Rameez Shahzad (UAE),2016-2019,22,22,8,8,0
Ravinderpal Singh (CAN),2019-2019,12,12,8,8,0
KW Richardson (AUS),2014-2019,15,15,8,8,0
DJM Short (AUS),2018-2019,20,19,8,8,0
DR Smith (WI),2006-2015,33,33,8,8,0
Sompal Kami (NEPAL),2014-2019,28,28,8,8,0
MA Starc (AUS),2012-2019,28,28,8,8,0
SB Styris (NZ),2005-2010,31,31,8,8,0
RML Taylor (SCOT),2013-2016,9,9,8,8,0
HT Tector (IRE),2019-2019,14,14,8,8,0
HDRL Thirimanne (SL),2012-2016,26,26,8,8,0
AJ Tye (AUS),2016-2018,26,25,8,8,0
N Vanua (PNG),2015-2019,25,25,8,8,0
MH Yardy (ENG),2006-2011,14,14,8,8,0
KJ Abbott (SA),2013-2016,21,21,7,7,0
RG Aga (KENYA),2008-2013,20,20,7,7,0
MM Ali (ENG),2014-2018,25,25,7,7,0
Aqib Ilyas (OMAN),2015-2019,22,22,7,7,0
S Badree (WI/World),2012-2018,52,52,7,7,0
HS Baidwan (CAN),2008-2013,17,17,7,7,0
RD Berrington (SCOT),2008-2019,61,59,7,7,0
Bilal Khan (OMAN),2015-2019,32,31,7,7,0
RS Bopara (ENG),2008-2014,38,37,7,7,0
DAJ Bracewell (NZ),2011-2019,18,17,7,7,0
YS Chahal (INDIA),2016-2019,36,36,7,7,0
S Chanderpaul (WI),2006-2010,22,22,7,7,0
MS Chapman (HKG/NZ),2014-2018,24,24,7,7,0
PJ Cummins (AUS),2011-2019,25,25,7,7,0
AR Cusack (IRE),2008-2015,37,33,7,7,0
Dawlat Zadran (AFG),2012-2019,34,34,7,7,0
BR Dunk (AUS),2014-2017,5,5,7,5,2
AC Evans (SCOT),2015-2019,27,25,7,7,0
Faheem Ashraf (PAK),2017-2019,27,27,7,7,0
Fawad Alam (PAK),2007-2010,24,24,7,7,0
Harbhajan Singh (INDIA),2006-2016,28,27,7,7,0
Hasan Ali (PAK),2016-2019,30,30,7,7,0
AW Hawkins-Kay (JER),2019-2019,16,16,7,7,0
JO Holder (WI),2014-2019,17,17,7,7,0
Imran Tahir (SA/World),2013-2019,38,38,7,7,0
Iqbal Hussain (QAT),2019-2019,15,15,7,7,0
JH Kallis (SA),2005-2012,25,25,7,7,0
Kuldeep Yadav (INDIA),2017-2019,19,19,7,7,0
MJ McClenaghan (ICC/NZ),2012-2018,29,29,7,7,0
MW Machan (SCOT),2013-2016,13,13,7,7,0
AD Mascarenhas (ENG),2007-2009,14,14,7,7,0
Mehidy Hasan Miraz (BDESH),2017-2018,13,13,7,7,0
BMAJ Mendis (SL),2011-2018,22,22,7,7,0
AK Mohan (Fin),2019-2019,5,5,7,5,2
PJ Moor (ZIM),2016-2019,21,21,7,7,0
Mosaddek Hossain (BDESH),2016-2019,14,14,7,7,0
K Motlhanka (Botsw),2019-2019,7,7,7,3,4
SP Narine (WI),2012-2019,51,51,7,7,0
H Osinde (CAN),2008-2013,11,11,7,7,0
MK Pandey (INDIA),2015-2019,32,32,7,7,0
KH Pandya (INDIA),2018-2019,18,18,7,7,0
LE Plunkett (ENG),2006-2019,22,22,7,7,0
N Pooran (WI),2016-2019,16,16,7,7,0
JD Ryder (NZ),2008-2014,22,22,7,7,0
RR Sarwan (WI),2007-2010,18,18,7,7,0
MD Shanaka (SL),2015-2019,35,35,7,7,0
Simi Singh (IRE),2018-2019,18,18,7,7,0
Sohail Tanvir (PAK),2007-2017,57,57,7,7,0
MP Stoinis (AUS),2015-2019,19,18,7,7,0
MR Swart (NL),2012-2016,26,26,7,7,0
R Tari (VAN),2019-2019,14,14,7,7,0
TP Ura (PNG),2015-2019,23,23,7,7,0
Waqas Barkat (HKG),2014-2019,22,22,7,7,0
MRJ Watt (SCOT),2015-2019,35,33,7,7,0
KOK Williams (WI),2016-2019,24,24,7,7,0
Yasir Ali (ESP),2019-2019,9,9,7,7,0
CA Young (IRE),2015-2019,26,25,7,7,0
Abdur Rehman (PAK),2007-2013,8,8,6,6,0
DS Airee (NEPAL),2018-2019,18,18,6,6,0
PS Airee (NEPAL),2015-2019,11,11,6,5,1
Anshuman Rath (HKG),2015-2017,20,20,6,6,0
Awais Ahmed (ESP),2019-2019,9,9,6,5,1
NW Bracken (AUS),2006-2009,19,19,6,6,0
JJ Bumrah (INDIA),2016-2019,42,42,6,6,0
PVD Chameera (SL),2015-2018,19,19,6,6,0
TLW Cooper (NL),2012-2016,18,17,6,6,0
FA Cossa (Moz),2019-2019,6,5,6,6,0
AG Cremer (ZIM),2008-2018,29,29,6,6,0
ST Finn (ENG),2011-2015,21,21,6,6,0
JS Foster (ENG),2009-2009,5,5,6,3,3
SO Hetmyer (WI),2018-2019,20,20,6,6,0
SD Hope (WI),2017-2019,13,13,6,6,0
GJ Hopkins (NZ),2007-2010,10,10,6,4,2
Imran Ismail (Moz),2019-2019,7,6,6,6,0
Janak Prakash (SGP),2019-2019,12,12,6,6,0
Kamran Khan (QAT),2019-2019,14,14,6,6,0
Karim Sadiq (AFG),2010-2018,36,36,6,6,0
B Kumar (INDIA),2012-2019,43,43,6,6,0
ND Laegsgaard (DEN),2019-2019,9,7,6,6,0
TWM Latham (NZ),2012-2017,13,13,6,6,0
B Lee (AUS),2005-2012,25,25,6,6,0
AR McBrine (IRE),2014-2017,19,18,6,6,0
PK Matautaava (VAN),2019-2019,10,10,6,6,0
BAW Mendis (SL),2008-2014,39,39,6,6,0
BKG Mendis (SL),2016-2019,24,24,6,6,0
Mohammad Nawaz (3) (PAK),2016-2018,16,16,6,6,0
CH Morris (SA),2012-2019,23,23,6,6,0
Muhammad Usman (UAE),2016-2019,34,34,6,6,0
Nasir Jamshed (PAK),2012-2013,18,18,6,6,0
AR Nurse (WI),2011-2019,13,13,6,6,0
Nurul Hasan (BDESH),2016-2017,9,9,6,2,4
NN Odhiambo (KENYA),2007-2013,24,24,6,6,0
HH Patel (MWI),2019-2019,7,7,6,6,0
CW Perchard (JER),2019-2019,15,15,6,6,0
BBJL Perera (ITA),2019-2019,8,7,6,6,0
AL Phehlukwayo (SA),2017-2019,23,23,6,6,0
Rehman Abdul (ITA),2019-2019,7,6,6,6,0
S Samarawickrama (SL),2017-2019,7,7,6,4,2
Shafraz Jaleel (Mald),2019-2019,4,4,6,4,2
HAM Shah (DEN),2019-2019,9,7,6,6,0
TAM Siriwardana (SL),2015-2017,22,22,6,6,0
P Utseya (ZIM),2006-2015,35,35,6,6,0
MN van Wyk (SA),2007-2015,8,8,6,5,1
JNT Vare (PNG),2015-2017,8,8,6,4,2
S Vesawkar (NEPAL),2014-2019,17,17,6,6,0
Virandeep Singh (MAL),2019-2019,12,12,6,6,0
DF Watts (SCOT),2007-2012,11,10,6,6,0
Zeeshan Maqsood (OMAN),2015-2019,29,28,6,6,0
Aarif Sheikh (NEPAL),2018-2019,11,11,5,5,0
Adnan Ilyas (OMAN),2015-2016,12,11,5,5,0
KK Ahuja (Mex),2019-2019,8,8,5,2,3
CJA Amini (PNG),2015-2019,23,23,5,5,0
Anwar Ali (PAK),2008-2016,16,16,5,5,0
Ariful Haque (BDESH),2018-2018,9,9,5,5,0
SJ Baard (NAM),2019-2019,13,13,5,5,0
O Bascome (BMUDA),2019-2019,11,11,5,4,1
PKD Chase (IRE),2018-2019,12,12,5,5,0
DT Christian (AUS),2010-2017,16,16,5,5,0
BCJ Cutting (AUS/World),2013-2017,7,7,5,5,0
MD Dai (PNG),2015-2017,9,9,5,5,0
A Dananjaya (SL),2012-2019,22,22,5,5,0
GJ Delany (IRE),2019-2019,17,17,5,5,0
NS Dhaliwal (CAN),2019-2019,12,12,5,5,0
AC Douglas (BMUDA),2019-2019,10,10,5,5,0
FH Edwards (WI),2007-2012,20,20,5,5,0
Fahad Ali (),2019-2019,3,3,5,4,1
Faisal Javed (QAT),2019-2019,15,15,5,5,0
LB Ferbrache (GUE),2019-2019,9,9,5,5,0
A Flintoff (ENG),2005-2007,7,7,5,5,0
DM Gondaria (KENYA),2013-2019,11,11,5,5,0
NA Greenwood (JER),2019-2019,8,8,5,5,0
DAS Gunaratne (SL),2016-2017,12,12,5,5,0
S Hallett (Peru),2019-2019,4,4,5,4,1
Hilal Ahmad (CZK-R),2019-2019,7,7,5,5,0
BJ Hodge (AUS),2007-2014,15,15,5,5,0
Ibrahim Hassan (Mald),2019-2019,11,11,5,5,0
Jagjit Singh (Peru),2019-2019,4,4,5,5,0
KM Jarvis (ZIM),2011-2019,22,22,5,5,0
MG Johnson (AUS),2007-2013,30,30,5,5,0
EC Joyce (ENG/IRE),2006-2014,18,17,5,5,0
Junaid Sheikh (NOR),2019-2019,5,5,5,5,0
D Kansonkho (MWI),2019-2019,7,7,5,5,0
Karim Janat (AFG),2016-2019,21,21,5,5,0
SP Khakurel (NEPAL),2014-2015,8,8,5,2,3
UT Khawaja (AUS),2016-2016,9,9,5,5,0
JP Kotze (NAM),2019-2019,12,12,5,5,0
